Name,Image,Thumbnail
Surskit from Plasma Blast (#1),http://pokebeach.com/scans/plasma-blast/1-surskit.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/1-surskit.jpg,
Masquerain from Plasma Blast (#2),http://pokebeach.com/scans/plasma-blast/2-masquerain.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/2-masquerain.jpg,
Lileep from Plasma Blast (#3),http://pokebeach.com/scans/plasma-blast/3-lileep.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/3-lileep.jpg,
Cradily from Plasma Blast (#4),http://pokebeach.com/scans/plasma-blast/4-cradily.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/4-cradily.jpg,
Tropius from Plasma Blast (#5),http://pokebeach.com/scans/plasma-blast/5-tropius.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/5-tropius.jpg,
Karrablast from Plasma Blast (#6),http://pokebeach.com/scans/plasma-blast/6-karrablast.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/6-karrablast.jpg,
Shelmet from Plasma Blast (#7),http://pokebeach.com/scans/plasma-blast/7-shelmet.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/7-shelmet.jpg,
Accelgor from Plasma Blast (#8),http://pokebeach.com/scans/plasma-blast/8-accelgor.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/8-accelgor.jpg,
Virizion-EX from Plasma Blast (#9),http://pokebeach.com/scans/plasma-blast/9-virizion-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/9-virizion-ex.jpg,
Genesect from Plasma Blast (#10),http://pokebeach.com/scans/plasma-blast/10-genesect.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/10-genesect.jpg,
Genesect-EX from Plasma Blast (#11),http://pokebeach.com/scans/plasma-blast/11-genesect-ex.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/11-genesect-ex.jpg,
Larvesta from Plasma Blast (#12),http://pokebeach.com/scans/plasma-blast/12-larvesta.jpg,http://pokebeach.com/scans/plasma-blast/thumbnails/12-larvesta.jpg,
